country_name,country_code,indicator_name,indicator_code,Ano,Valor
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1979,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1979,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1979,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1979,6
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1980,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1980,"1,879,000"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1980,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1980,0
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1980,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1980,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1980,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1980,6
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1981,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1981,"2,199,000"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1981,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1981,0
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1981,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1981,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1981,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1981,7
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1982,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1982,"2,361,350"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1982,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1982,0
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1982,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1982,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1982,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1982,8
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1983,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1983,"2,271,525"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1983,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1983,0
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1983,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1983,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1983,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1983,7
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1984,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1984,"2,599,607"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1984,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1984,0
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1984,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1984,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1984,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1984,8
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1985,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1985,"2,710,894"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1985,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1985,0
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1985,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1985,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1985,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1985,8
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1986,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1986,"2,859,209"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1986,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1986,0
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1986,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1986,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1986,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1986,9
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1987,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1987,"2,965,970"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1987,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1987,0
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1987,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1987,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1987,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1987,9
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1988,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1988,"3,175,756"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1988,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1988,0
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1988,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1988,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1988,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1988,10
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1989,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1989,"3,084,000"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1989,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1989,"2,300"
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1989,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1989,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1989,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1989,9
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1990,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1990,"3,026,732"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1990,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1990,"12,000"
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1990,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1990,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1990,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1990,9
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1991,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1991,"3,131,235"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1991,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1991,"25,000"
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1991,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1991,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1991,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1991,9
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1992,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1992,"3,594,533"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1992,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1992,"46,590"
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1992,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1992,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1992,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1992,10
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1993,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1993,"3,982,435"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1993,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1993,"112,000"
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1993,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1993,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1993,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1993,11
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1994,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1994,"4,986,887"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1994,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1994,"241,163"
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1994,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1994,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1994,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1994,14
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1995,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1995,"5,714,158"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1995,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1995,"405,395"
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1995,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1995,1
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1995,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1995,16
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1996,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1996,"6,262,637"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1996,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1996,"667,020"
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1996,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1996,1
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1996,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1996,17
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1997,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1997,"6,826,799"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1997,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1997,"2,009,073"
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1997,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1997,5
